fecha,tipo_avión,registro,Operador,numero_total_fallecidos,lugar_accidente
1920-03-24 00:00:00.000,Junkers F13/Larsen JL-6,se desconoce,Junkers-Larsen,0,"Roosevelt Field, Mineola, NY"
1920-03-26 00:00:00.000,Breguet 14,se desconoce,Hellenic Army Air Force,0,NW of village Kalambasi
1920-03-31 00:00:00.000,Avro 504K,se desconoce,Handley Page Ltd.(regd owners),0,"Southwark Park, Rotherhithe, London"
0,Sopwith Dove,se desconoce,Sopwith Aviation Company,0,se desconoce
1920-04-10 00:00:00.000,Curtiss R-4,se desconoce,US Air Mail Services,0,"Camden, NJ"
1920-04-15 00:00:00.000,Avro 504K,se desconoce,Vickers Ltd,0,"Brooklands, Weybridge, Surrey"
1920-04-16 00:00:00.000,Avro 504K,se desconoce,W. G. Pudney,0,"Banbury, Oxfordshire"
1920-04-22 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,0,"Gorton Station, PA"
1920-04-24 00:00:00.000,Dornier Gs.1,se desconoce,se desconoce,0,Kiel-Holtenau
1920-04-27 00:00:00.000,Curtiss R-4,se desconoce,US Air Mail Services,0,"Llewellyn Park, West Orange, NJ"
1920-04-30 00:00:00.000,Avro 504K,se desconoce,Vickers Ltd,0,"Joyce Green, near Dartford, Kent"
1920-05-04 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,0,"Burton, OH"
1920-06-10 00:00:00.000,de Havilland DH.16,se desconoce,Aircraft Transport & Travel,0,"Swanley Junction, Swanley, Kent"
1930-01-06 00:00:00.000,Stearman C3B,NC8820,Western Air Express,0,"Dupont, Denver, CO"
1930-01-07 00:00:00.000,Fokker Super Universal,CF-AJG,International Airways of Canada,0,"near Whitby, ON"
1930-01-11 00:00:00.000,de Havilland DH.60G Moth,G-AAHF,The Hon Henry Charles Hiley Bathurst,0,"Croydon Aiport, Croydon, Surrey"
1930-01-15 00:00:00.000,Airplane,D-....,Flugschule Böblingen,0,Maxauer Hafen
1930-01-16 00:00:00.000,Fokker C.Ve,C.Ve 433,LA-KNIL,0,Tjikembar near Sukabumi
1930-01-16 00:00:00.000,Fokker D.C.I,FD-403,LA-KNIL,0,"Andir, Bandung, West Java"
1930-01-17 00:00:00.000,Lockheed 3 Air Express,NC7955,Texaco,0,"West Palm Beach, FL"
1930-01-19 00:00:00.000,de Havilland DH.61 Giant Moth,G-AAEV,Imperial Airways Ltd,0,"Broken Hill, Central Province"
1930-01-22 00:00:00.000,Fokker F.14,NC329N,Fokker,0,"Teterboro Airport, NJ"
1930-01-29 00:00:00.000,Centrala Verkstaden Malmslätt S 21 (S 1),41,Swedish Air Force,0,"I 5 läger, F3 Malmen (Östergötland)"
1930-01-31 00:00:00.000,Vought O2U-1 Corsair,A-7543,US Navy,0,"Long Beach Airport, CA"
1930-02-01 00:00:00.000,Albatros B.IIa,SE-ABU,Private,0,"Hammars backar, E Ystad"
1930-02-08 00:00:00.000,Ford 4-AT-A Tri-Motor,NC2492,Private,0,"San Marcos, TX"
1930-02-14 00:00:00.000,Airplane,se desconoce,Armée de l'Air,0,near Metz
1930-02-14 00:00:00.000,DH.66 Hercules,G-EBNA,Imperial Airways,0,Gaza
1930-02-15 00:00:00.000,Lockheed Vega 1,NC7896,Wolverine Flying Service,0,"Lansing, MI"
1930-02-16 00:00:00.000,Avro 594 Avian III,G-CANL,Winnipeg Flying Club,0,"Winnipeg, Manitoba"
1930-02-18 00:00:00.000,Avro 594 Avian III,ZS-AAR,C.W.Petchell,0,"Stamford Hill, Durban"
1930-02-24 00:00:00.000,Boeing 95,NC419E,Western Air Express,0,"13 mi W of Saint George, UT"
1930-02-25 00:00:00.000,Morane 230,se desconoce,Royal Hellenic Air Force,0,Sedes airport
1930-02-27 00:00:00.000,Daimler L20 B I,D-1307,Deutsche Luftfahrt,0,Wittenberg
1930-02-27 00:00:00.000,de Havilland DH.60 Moth,G-EBPM,Cinque Ports Flying Club Ltd,0,"Smarden, West of Ashford, Kent"
1930-03-02 00:00:00.000,Ford 4-AT-A Tri-Motor,R-131,NYRBA,0,Cordoba
1930-03-06 00:00:00.000,Junkers W.34b,VH-UGZ,Guinea Airways,0,"Wau, NG"
1930-01-06 00:00:00.000,Stearman C3B,NC8820,Western Air Express,0,"Dupont, Denver, CO"
1930-01-07 00:00:00.000,Fokker Super Universal,CF-AJG,International Airways of Canada,0,"near Whitby, ON"
1930-01-11 00:00:00.000,de Havilland DH.60G Moth,G-AAHF,The Hon Henry Charles Hiley Bathurst,0,"Croydon Aiport, Croydon, Surrey"
1930-01-15 00:00:00.000,Airplane,D-....,Flugschule Böblingen,0,Maxauer Hafen
1930-01-16 00:00:00.000,Fokker C.Ve,C.Ve 433,LA-KNIL,0,Tjikembar near Sukabumi
1930-01-16 00:00:00.000,Fokker D.C.I,FD-403,LA-KNIL,0,"Andir, Bandung, West Java"
1930-01-17 00:00:00.000,Lockheed 3 Air Express,NC7955,Texaco,0,"West Palm Beach, FL"
1930-01-19 00:00:00.000,de Havilland DH.61 Giant Moth,G-AAEV,Imperial Airways Ltd,0,"Broken Hill, Central Province"
1930-01-22 00:00:00.000,Fokker F.14,NC329N,Fokker,0,"Teterboro Airport, NJ"
1930-01-29 00:00:00.000,Centrala Verkstaden Malmslätt S 21 (S 1),41,Swedish Air Force,0,"I 5 läger, F3 Malmen (Östergötland)"
1930-01-31 00:00:00.000,Vought O2U-1 Corsair,A-7543,US Navy,0,"Long Beach Airport, CA"
1930-02-01 00:00:00.000,Albatros B.IIa,SE-ABU,Private,0,"Hammars backar, E Ystad"
1930-02-14 00:00:00.000,Airplane,se desconoce,Armée de l'Air,0,near Metz
1930-02-15 00:00:00.000,Lockheed Vega 1,NC7896,Wolverine Flying Service,0,"Lansing, MI"
1930-02-16 00:00:00.000,Avro 594 Avian III,G-CANL,Winnipeg Flying Club,0,"Winnipeg, Manitoba"
1930-02-18 00:00:00.000,Avro 594 Avian III,ZS-AAR,C.W.Petchell,0,"Stamford Hill, Durban"
1930-02-24 00:00:00.000,Boeing 95,NC419E,Western Air Express,0,"13 mi W of Saint George, UT"
1930-02-25 00:00:00.000,Morane 230,se desconoce,Royal Hellenic Air Force,0,Sedes airport
1930-02-27 00:00:00.000,Daimler L20 B I,D-1307,Deutsche Luftfahrt,0,Wittenberg
1930-02-27 00:00:00.000,de Havilland DH.60 Moth,G-EBPM,Cinque Ports Flying Club Ltd,0,"Smarden, West of Ashford, Kent"
1930-03-06 00:00:00.000,Junkers W.34b,VH-UGZ,Guinea Airways,0,"Wau, NG"
1940-01-01 00:00:00.000,Messerschmitt Bf 109E-1,3258,3./JG 101 Luftwaffe,0,"Westerland, Schleswig-Holstein"
1940-01-02 00:00:00.000,Hawker Hurricane Mk I,L1893,80 Sqn RAF,0,"RAF Amiriya, near Alexandria"
1940-01-03 00:00:00.000,Avro Anson Mk I,N5234,502 (Ulster) Sqn RAF,0,"4 miles E of Rhyl, Denbeighshire"
1940-01-04 00:00:00.000,North American O-47A,37-354,119th Obs Sqn USAAC,0,"2 miles east of Shushan Airport, New Orleans, Louisiana"
1940-01-05 00:00:00.000,Fokker G.1 Mercury,306,"4-II-1 LvR, Wapen der Militaire Luchtvaart (ML)",0,"near the Meggelsloot water at De Rijp, Noord-Holland"
1940-01-05 00:00:00.000,Lockheed Hudson Mk I,N7250,224 Sqn RAF,0,"RAF Prestwick, Ayrshire, Scotland"
1940-01-05 00:00:00.000,Bristol Blenheim Mk IV,L8741,21 Sqn RAF,0,"RAF Halton, 4 miles SE of Aylesbury, Buckinghamshire"
1940-01-07 00:00:00.000,Supermarine Spitfire Mk I,L1064,609 (West Riding) Sqn RAF,0,"Near Crook of Alves, Morayshire"
1940-01-07 00:00:00.000,Bristol Blenheim Mk I,L1214,108 Sqn RAF,0,"RAF Bicester, Oxfordshire"
1940-01-09 00:00:00.000,Supermarine Spitfire Mk I,N3104,64 Sqn RAF,0,"RAF Hornchurch, Essex, England."
1940-01-09 00:00:00.000,Fleet,LV-...,Private,0,"Rosario, SF"
1940-01-10 00:00:00.000,Messerschmitt Bf 108M Taifun,NF+AW,Luftwaffe,0,near Vucht
1940-01-10 00:00:00.000,Douglas O-46A,35-192,91st Obs Sqn USAAC,0,"10 mi east of Fort Lewis, Washington"
1940-01-10 00:00:00.000,Airspeed Oxford Mk I,P1941,2 FPP ATA,0,"RAF Sealand, Flintshire"
1940-01-10 00:00:00.000,Bristol Blenheim Mk IV,L8873,104 Sqn RAF,0,"RAF Bicester, Oxfordshire"
1940-01-11 00:00:00.000,Supermarine Spitfire Mk I,N3036,66 Sqn RAF,0,"RAF Duxford, Cambridgeshire, England."
1940-01-11 00:00:00.000,Hawker Demon Mk I,A1-54,25 Sqn RAAF,0,"off Yanchep Beach, NW of Perth, WA"
1940-01-12 00:00:00.000,Gloster Gladiator Mk I,K7944,112 Sqn RAF,0,RAF stn Helwan
1940-01-12 00:00:00.000,Hawker Hart B4,F19-blue X,F19,0,se desconoce
1940-01-12 00:00:00.000,Hawker Hart (B4A),se desconoce,Swedish Air Force,0,Märkäjärvi (Finland)
1940-01-12 00:00:00.000,Hawker Hart (B4A),732,Swedish Air Force,0,"Ca 10 km SSO Joutsijärvi, SV Märkäjärvi (Finland)"
1940-01-12 00:00:00.000,Avro Anson Mk I,K6317,269 Sqn RAF,0,"RAF Wick, Caithness, Scotland"
1940-01-12 00:00:00.000,De Havilland DH.82 Tiger Moth,G-ADWD,12 EFTS RAF,0,"RAF Prestwick, South Ayrshire, Scotland"
1940-01-13 00:00:00.000,Douglas TBD-1 Devastator,0292,US Navy,0,"Near Salton Sea 20 miles E of Julian, CA"
1940-01-13 00:00:00.000,Potez 25 A2,2022,Armée de l'Air,0,"Rochefort airfield, Charente-Inférieure"
1940-01-13 00:00:00.000,Fleet 3,se desconoce,se desconoce,0,"Praia de Torres, RS"
1940-01-13 00:00:00.000,Dornier Do 17S-O,T5+FH,Aufklärungsgr. Ob. d. Luftw / Aufklärungsgr. 100,0,"English Channel in the Pas De Calais, between Calais and Dover"
1940-01-14 00:00:00.000,Fairey Gordon I,K2719,112 Sqn RAF,0,Nr RAF Helwan
1940-01-15 00:00:00.000,Lockheed 14-WF62 Super Electra,G-AFMO,British Airways,0,Heston Airport
1940-01-15 00:00:00.000,Lockheed Hudson Mk I,N7245,233 Sqn RAF,0,"RAF Leuchars, Fife, Scotland"
1940-01-15 00:00:00.000,Morane-Saulnier MS 406,n° 63,GC I/9 Armée de l’Air,0,Oran-La Sénia airfield
1940-01-16 00:00:00.000,Supermarine Spitfire Mk I,K9893,152 (Hyderabad) Sqn RAF,0,"Between Broughton and Kirton, Nottinghamshire"
1940-01-16 00:00:00.000,Fairey Battle Mk I,P2253,5 Gp TT Flt RAF,0,"Sigglesthorne Grange nr RAF stn Catfoss, Yorkshire"
1940-01-16 00:00:00.000,Avro Anson Mk I,K8833,48 Sqn RAF,0,"North Sea, East of Great Yarmouth, Norfolk"
1940-01-16 00:00:00.000,Supermarine Spitfire Mk I,K9885,152 (Hyderabad) Sqn RAF,0,8 miles E of Nottingham
1940-01-17 00:00:00.000,Airspeed Oxford Mk II,P6803,5 FTS RAF,0,"Tarporley, 23 km ESE RAF Sealand, Cheshire"
1940-01-18 00:00:00.000,Grumman F3F-1,0229,US Navy,0,Atlantic Ocean
1940-01-18 00:00:00.000,Fairey Battle Mk I,L5065,7 AOS RAF,0,"Peterston-super-Ely near Cowbridge, Glamorgan"
1940-01-19 00:00:00.000,Potez 25,1935,Armée de l'Air,0,"Aulnat airfield, Puy-de-Dome"
1940-01-19 00:00:00.000,Dewoitine D.500,n° 57,C.I.R. Armée de l'Air,0,"Aulnat airfield, Puy-de-Dome"
1940-01-01 00:00:00.000,Messerschmitt Bf 109E-1,3258,3./JG 101 Luftwaffe,0,"Westerland, Schleswig-Holstein"
1940-01-02 00:00:00.000,Hawker Hurricane Mk I,L1893,80 Sqn RAF,0,"RAF Amiriya, near Alexandria"
1940-01-03 00:00:00.000,Avro Anson Mk I,N5234,502 (Ulster) Sqn RAF,0,"4 miles E of Rhyl, Denbeighshire"
1940-01-04 00:00:00.000,North American O-47A,37-354,119th Obs Sqn USAAC,0,"2 miles east of Shushan Airport, New Orleans, Louisiana"
1940-01-05 00:00:00.000,Fokker G.1 Mercury,306,"4-II-1 LvR, Wapen der Militaire Luchtvaart (ML)",0,"near the Meggelsloot water at De Rijp, Noord-Holland"
1940-01-05 00:00:00.000,Lockheed Hudson Mk I,N7250,224 Sqn RAF,0,"RAF Prestwick, Ayrshire, Scotland"
1940-01-05 00:00:00.000,Bristol Blenheim Mk IV,L8741,21 Sqn RAF,0,"RAF Halton, 4 miles SE of Aylesbury, Buckinghamshire"
1940-01-07 00:00:00.000,Supermarine Spitfire Mk I,L1064,609 (West Riding) Sqn RAF,0,"Near Crook of Alves, Morayshire"
1940-01-07 00:00:00.000,Bristol Blenheim Mk I,L1214,108 Sqn RAF,0,"RAF Bicester, Oxfordshire"
1940-01-09 00:00:00.000,Supermarine Spitfire Mk I,N3104,64 Sqn RAF,0,"RAF Hornchurch, Essex, England."
1940-01-09 00:00:00.000,Fleet,LV-...,Private,0,"Rosario, SF"
1940-01-10 00:00:00.000,Messerschmitt Bf 108M Taifun,NF+AW,Luftwaffe,0,near Vucht
1940-01-10 00:00:00.000,Douglas O-46A,35-192,91st Obs Sqn USAAC,0,"10 mi east of Fort Lewis, Washington"
1940-01-10 00:00:00.000,Airspeed Oxford Mk I,P1941,2 FPP ATA,0,"RAF Sealand, Flintshire"
1940-01-10 00:00:00.000,Bristol Blenheim Mk IV,L8873,104 Sqn RAF,0,"RAF Bicester, Oxfordshire"
1940-01-11 00:00:00.000,Supermarine Spitfire Mk I,N3036,66 Sqn RAF,0,"RAF Duxford, Cambridgeshire, England."
1940-01-11 00:00:00.000,Hawker Demon Mk I,A1-54,25 Sqn RAAF,0,"off Yanchep Beach, NW of Perth, WA"
1940-01-12 00:00:00.000,Gloster Gladiator Mk I,K7944,112 Sqn RAF,0,RAF stn Helwan
1940-01-12 00:00:00.000,Hawker Hart B4,F19-blue X,F19,0,se desconoce
1940-01-12 00:00:00.000,Hawker Hart (B4A),se desconoce,Swedish Air Force,0,Märkäjärvi (Finland)
1940-01-12 00:00:00.000,Hawker Hart (B4A),732,Swedish Air Force,0,"Ca 10 km SSO Joutsijärvi, SV Märkäjärvi (Finland)"
1940-01-12 00:00:00.000,Avro Anson Mk I,K6317,269 Sqn RAF,0,"RAF Wick, Caithness, Scotland"
1940-01-12 00:00:00.000,De Havilland DH.82 Tiger Moth,G-ADWD,12 EFTS RAF,0,"RAF Prestwick, South Ayrshire, Scotland"
1940-01-13 00:00:00.000,Douglas TBD-1 Devastator,0292,US Navy,0,"Near Salton Sea 20 miles E of Julian, CA"
1940-01-13 00:00:00.000,Potez 25 A2,2022,Armée de l'Air,0,"Rochefort airfield, Charente-Inférieure"
1940-01-13 00:00:00.000,Fleet 3,se desconoce,se desconoce,0,"Praia de Torres, RS"
1940-01-13 00:00:00.000,Dornier Do 17S-O,T5+FH,Aufklärungsgr. Ob. d. Luftw / Aufklärungsgr. 100,0,"English Channel in the Pas De Calais, between Calais and Dover"
1940-01-14 00:00:00.000,Fairey Gordon I,K2719,112 Sqn RAF,0,Nr RAF Helwan
1940-01-15 00:00:00.000,Lockheed Hudson Mk I,N7245,233 Sqn RAF,0,"RAF Leuchars, Fife, Scotland"
1940-01-15 00:00:00.000,Morane-Saulnier MS 406,n° 63,GC I/9 Armée de l’Air,0,Oran-La Sénia airfield
1940-01-16 00:00:00.000,Supermarine Spitfire Mk I,K9893,152 (Hyderabad) Sqn RAF,0,"Between Broughton and Kirton, Nottinghamshire"
1940-01-16 00:00:00.000,Fairey Battle Mk I,P2253,5 Gp TT Flt RAF,0,"Sigglesthorne Grange nr RAF stn Catfoss, Yorkshire"
1940-01-16 00:00:00.000,Avro Anson Mk I,K8833,48 Sqn RAF,0,"North Sea, East of Great Yarmouth, Norfolk"
1940-01-16 00:00:00.000,Supermarine Spitfire Mk I,K9885,152 (Hyderabad) Sqn RAF,0,8 miles E of Nottingham
1940-01-17 00:00:00.000,Airspeed Oxford Mk II,P6803,5 FTS RAF,0,"Tarporley, 23 km ESE RAF Sealand, Cheshire"
1940-01-18 00:00:00.000,Grumman F3F-1,0229,US Navy,0,Atlantic Ocean
1940-01-18 00:00:00.000,Fairey Battle Mk I,L5065,7 AOS RAF,0,"Peterston-super-Ely near Cowbridge, Glamorgan"
1940-01-19 00:00:00.000,Potez 25,1935,Armée de l'Air,0,"Aulnat airfield, Puy-de-Dome"
1940-01-19 00:00:00.000,Dewoitine D.500,n° 57,C.I.R. Armée de l'Air,0,"Aulnat airfield, Puy-de-Dome"
1950-01-02 00:00:00.000,Amiot AAC.1 (Junkers Ju-52),se desconoce,Armée de l'Air,0,13 km NW of Sebdou
1950-01-04 00:00:00.000,North American F-86A-5-NA Sabre,48-237,4th FIGp /334th FISqn USAF,0,"near Langley AFB, Virginia"
1950-01-04 00:00:00.000,de Havilland DH.98 Mosquito NF Mk 36,RL260,228 OCU RAF,0,"1/2 mile south of RAF stn Catterick, North Yorkshire, England."
1950-01-05 00:00:00.000,Curtiss C-46A,PP-XBW,Comp. Itaú de Transportes Aéreos,0,"Itaquaquecetuba, SP"
1950-01-06 00:00:00.000,de Havilland DH.98 Mosquito PR Mk XVI,2102,Israeli Air Force (IDF/AF),0,????.
1950-01-06 00:00:00.000,Gloster Meteor F Mk 4,VT178,1 Sqn RAF,0,"RAF Tangmere, Chichester, West Sussex, England"
1950-01-07 00:00:00.000,Beechcraft 18,XB-JOD,Banco de México,0,"near Las Juntas, JAL"
1950-01-08 00:00:00.000,De Havilland DH-82A Tiger Moth,ZK-AIK,Auckland Aero Club,0,"Sea off Port Charles, Waikato"
1950-01-08 00:00:00.000,Gloster Meteor F Mk III,EE472,616 (South Yorkshire) Sqn RAF,0,"near RAF Finningley, South Yorkshire, England."
